,ESTRATO,DOMINIO,Grupo,ENT,acceso,uso,aptitudes,IDTMex,FAC_HOGAR
240,3,U,31,Pue.,0.5,0.6666666666666666,1.0,6.666666666666668,228660
241,3,U,31,Qro.,0.6832990397805212,0.6443095306928784,0.6625528129864354,6.63553990786647,228660
242,3,U,31,Q. Roo.,0.6625802685347344,0.5605538781724685,0.7435825522463068,6.379701691321426,228660
243,3,U,31,S.L.P,0.9240045941807045,0.6666666666666666,0.7501461888340133,7.862977421057511,228660
244,3,U,31,Sin.,0.6425131348511384,0.4831235079172502,0.6952502390819254,5.893047049237405,228660
245,3,U,31,Son.,0.4174344436569809,0.6966702937205428,0.665060670949322,5.786540291408739,228660
246,3,U,31,Tamps.,0.8338771071234367,0.5935129901565274,0.6243429400036252,6.958246269127107,228660
247,3,U,31,Tlax.,0.75,1.0,0.7666666666666666,8.533333333333333,228660
248,3,U,31,Ver.,0.7202347483834692,0.520539983457079,0.8488223362195964,6.6607435998013855,228660
249,3,U,31,Yuc.,0.7330402010050251,0.4363213169978048,0.600009834364555,5.87746574074043,228660
250,3,U,31,Zac.,0.5,0.3333333333333333,0.3333333333333333,4.0,228660
251,3,U,32,Ags.,0.8852405721716515,0.5873417721518988,0.5872617823934593,7.06485294208112,359886
252,3,U,32,B.C.,0.9157247037374658,0.8034125881612192,0.5661385577700662,8.008826283134873,359886
253,3,U,32,B.C.S,0.75,0.3333333333333333,0.3333333333333333,5.0,359886
254,3,U,32,Camp.,1.0,0.6155913978494624,0.7174603174603175,7.897286226318485,359886
255,3,U,32,Coah.,1.0,0.6666666666666666,0.8888888888888888,8.444444444444446,359886
256,3,U,32,Col.,1.0,0.6666666666666666,0.8291139240506329,8.324894514767934,359886
257,3,U,32,Chih.,0.8822412155745489,0.7188175526724364,0.8973084886128365,8.198852050213617,359886
258,3,U,32,C.D.Mx,0.9540803882832126,0.8762480902946037,0.7377089915922649,8.796731897495796,359886
259,3,U,32,Gto.,0.9644709543568465,0.742460529732425,0.6613046370835164,8.15033521052412,359886
260,3,U,32,Hgo.,0.8672332942555686,0.6174007612833061,0.5945727396300776,7.127681701415654,359886
261,3,U,32,Jal.,0.8616140713916193,0.687477366421266,0.6212677461024992,7.43890124345654,359886
262,3,U,32,Edo. Méx.,1.0,0.6266630667926623,0.7129166978144509,7.932485662799551,359886
263,3,U,32,Mich.,0.8752676659528908,0.6001712328767123,0.533675799086758,6.9691071934919275,359886
264,3,U,32,Mor.,0.9570904084442404,0.6704162716592673,0.8277874283148018,8.165601577043635,359886
265,3,U,32,Nay.,1.0,0.6666666666666666,0.7777777777777777,8.222222222222223,359886
266,3,U,32,N.L.,0.9678617274894553,0.830112555399552,0.5835695433225999,8.35903621820123,359886
267,3,U,32,Oax.,1.0,0.6666666666666666,0.5555555555555555,7.777777777777779,359886
268,3,U,32,Pue.,1.0,0.6666666666666666,0.894369931099951,8.455406528866568,359886
269,3,U,32,Qro.,0.9170616113744076,0.6746755131968754,0.6703175649529319,7.707583628190996,359886
270,3,U,32,Q. Roo.,0.8585992907801419,0.6666666666666666,0.723105275282193,7.54727438035162,359886
271,3,U,32,S.L.P,1.0,0.5714285714285715,0.4166666666666667,7.11904761904762,359886
272,3,U,32,Sin.,0.8495228357191547,0.5884128103060661,0.6505958562033328,7.05293429650755,359886
273,3,U,32,Son.,0.8576071256620125,0.9550335570469799,0.7789190950295223,8.808400920895014,359886
