,ESTRATO,Grupo,ENT,acceso,uso,aptitudes,IDTMex,FAC_HOGAR
184,1,11,Edo. Méx.,0.3487981947065296,0.258228025833219,0.3848558377649382,3.197816557688871,2429056
185,2,20,Edo. Méx.,0.6186777764145662,0.5388460466444146,0.5120382635065152,5.654171819248955,9914146
186,2,21,Edo. Méx.,0.9407302969731581,0.6741393850115429,0.581098031337676,7.621674790614157,104783
187,2,22,Edo. Méx.,0.6670202288052125,0.6149305156770414,0.5175511475174877,6.162905272963991,43535
188,2,23,Edo. Méx.,0.5,0.3333333333333333,0.6666666666666666,4.666666666666667,9540
189,3,30,Edo. Méx.,0.9222178960781537,0.555359233000082,0.694582253486363,7.299473023285669,49644
190,3,31,Edo. Méx.,0.5408505154639176,0.31272559595176985,0.5362036021642712,4.4867116499912925,19613
191,3,32,Edo. Méx.,1.0,0.6266630667926623,0.7129166978144509,7.932485662799551,22223
192,3,33,Edo. Méx.,0.7754690879089284,0.6231383928234048,0.6333006253129928,6.86103117355532,2477544
193,4,40,Edo. Méx.,0.75,0.7283333209458683,0.5893572953930396,7.092047874569554,33431
194,4,42,Edo. Méx.,0.8641626636309958,0.7037894449246536,0.7783383368865574,7.8284851079957125,1902389
195,4,43,Edo. Méx.,0.9576963208274736,0.7604924298968211,0.8992483084536028,8.671251619804385,77211
196,1,11,Mich.,0.2796988027468592,0.12987041891128465,0.35938394046110017,2.357044767554776,1095170
197,2,20,Mich.,0.5040552397406717,0.3870991665284154,0.4633084890023366,4.491234603081022,2876654
198,2,21,Mich.,0.8810103963612735,0.610729427784483,0.6707991164560925,7.3085575294952125,21542
199,2,22,Mich.,0.5794668850072779,0.5681848553813862,0.5613937287468924,5.713394419048441,23275
200,2,23,Mich.,0.48043665073312214,0.36629039815893627,0.5054965208406714,4.3979012372495765,61471
201,3,30,Mich.,0.8965583913379738,0.6304751034384363,0.8193222459104353,7.746778470926512,7009
202,3,31,Mich.,0.6615636570777557,0.5872725290081368,0.780363446202118,6.556071636747807,11240
203,3,32,Mich.,0.8752676659528908,0.6001712328767123,0.533675799086758,6.9691071934919275,3504
204,3,33,Mich.,0.6697017820541704,0.5195331902718047,0.621502683226637,5.999945255757176,588815
205,3,34,Mich.,0.5799039780521262,0.5807035403234928,0.5535561442648192,5.749542362032114,8020
206,4,40,Mich.,0.905811623246493,0.7148849138606431,0.7458100558659218,7.974406260160389,6480
207,4,41,Mich.,0.75,0.4519161243673174,0.3046757164404223,5.417015930350114,5532
208,4,42,Mich.,0.7831027389540126,0.6590524021523466,0.8111242093083795,7.390868983042196,93008
209,1,11,Mor.,0.46070896829567354,0.33338157381164235,0.43267472853503125,4.041711625499326,263013
